token_id,score,prob
6119,48.75,1.0
1192,44.75,1.0
1623,44.5,1.0
40230,45.25,0.622459352016449
294,42.75,1.0
35482,42.75,1.0
26218,40.25,1.0
65363,43.5,1.0
295,45.25,1.0
834,45.25,1.0
2173,39.25,1.0
14,42.0,1.0
2513,45.25,0.8175744414329529
734,47.5,1.0
4189,50.5,1.0
1910,44.0,1.0
270,42.5,1.0
3295,43.25,1.0
3132,47.75,1.0
513,45.0,1.0
3132,33.0,1.0
339,42.25,0.9525741338729858
19,50.75,0.562176525592804
16,42.25,1.0
2619,50.25,1.0
71343,54.0,0.5146757960319519
270,41.0,1.0
1167,40.25,0.9399133324623108
294,40.75,0.7772998809814453
107188,39.25,0.3967204689979553
306,40.5,1.0
305,39.5,1.0
786,43.75,0.8175744414329529
17754,45.25,0.9241418242454529
28,42.0,1.0
5866,42.5,0.9046505093574524
262,53.0,1.0
565,47.5,1.0
2619,48.25,1.0
56284,57.75,1.0
107188,42.5,0.7772998809814453
306,42.75,1.0
11490,39.5,1.0
223,44.0,1.0
20,36.5,1.0
201,39.0,1.0
262,51.0,0.9241418242454529
565,38.25,1.0
2619,40.25,1.0
33551,52.25,1.0
107188,36.75,1.0
306,34.75,1.0
11490,34.0,1.0
223,23.125,1.0
20,37.75,1.0
271,46.75,1.0
20,46.25,1.0
16,41.75,1.0
2619,46.0,1.0
70944,56.25,0.8175744414329529
270,44.5,1.0
1167,45.75,0.9241418242454529
294,36.75,1.0
40230,40.75,1.0
716,44.25,1.0
35482,42.5,1.0
28,41.5,1.0
5866,40.5,0.8175744414329529
262,42.5,1.0
565,39.25,1.0
2619,49.0,1.0
56284,57.0,1.0
35482,41.75,1.0
11490,37.5,0.7310585379600525
223,42.25,1.0
926,36.75,1.0
40230,40.25,1.0
1660,43.25,0.562176525592804
201,42.75,1.0
262,40.25,1.0
565,32.25,1.0
2619,36.0,1.0
33551,42.75,1.0
35482,36.0,1.0
11490,34.5,1.0
223,33.75,1.0
26,35.75,1.0
40230,35.25,1.0
1660,36.0,1.0
271,44.75,1.0
21,47.75,1.0
16,36.5,1.0
2619,43.75,1.0
22616,58.0,1.0
270,43.0,1.0
3452,47.0,1.0
40230,43.25,0.9399133324623108
538,39.5,0.7772998809814453
3226,43.0,0.8175744414329529
